year,month,day,dep_time,sched_dep_time,arr_time,sched_arr_time,carrier,flight,tailnum,origin,dest,air_time,distance,name
2013,1,1,517,515,830,819,UA,1545,N14228,EWR,IAH,227,1400,United Air Lines Inc.
2013,1,1,533,529,850,830,UA,1714,N24211,LGA,IAH,227,1416,United Air Lines Inc.
2013,1,1,542,540,923,850,AA,1141,N619AA,JFK,MIA,160,1089,American Airlines Inc.
2013,1,1,544,545,1004,1022,B6,725,N804JB,JFK,BQN,183,1576,JetBlue Airways
2013,1,1,554,600,812,837,DL,461,N668DN,LGA,ATL,116,762,Delta Air Lines Inc.
2013,1,1,554,558,740,728,UA,1696,N39463,EWR,ORD,150,719,United Air Lines Inc.
2013,1,1,555,600,913,854,B6,507,N516JB,EWR,FLL,158,1065,JetBlue Airways
2013,1,1,557,600,709,723,EV,5708,N829AS,LGA,IAD,53,229,ExpressJet Airlines Inc.
2013,1,1,557,600,838,846,B6,79,N593JB,JFK,MCO,140,944,JetBlue Airways
2013,1,1,558,600,753,745,AA,301,N3ALAA,LGA,ORD,138,733,American Airlines Inc.
2013,1,1,558,600,849,851,B6,49,N793JB,JFK,PBI,149,1028,JetBlue Airways
2013,1,1,558,600,853,856,B6,71,N657JB,JFK,TPA,158,1005,JetBlue Airways
2013,1,1,558,600,924,917,UA,194,N29129,JFK,LAX,345,2475,United Air Lines Inc.
2013,1,1,558,600,923,937,UA,1124,N53441,EWR,SFO,361,2565,United Air Lines Inc.
2013,1,1,559,600,941,910,AA,707,N3DUAA,LGA,DFW,257,1389,American Airlines Inc.
2013,1,1,559,559,702,706,B6,1806,N708JB,JFK,BOS,44,187,JetBlue Airways
2013,1,1,559,600,854,902,UA,1187,N76515,EWR,LAS,337,2227,United Air Lines Inc.
2013,1,1,600,600,851,858,B6,371,N595JB,LGA,FLL,152,1076,JetBlue Airways
2013,1,1,600,600,837,825,MQ,4650,N542MQ,LGA,ATL,134,762,Envoy Air
2013,1,1,601,600,844,850,B6,343,N644JB,EWR,PBI,147,1023,JetBlue Airways
2013,1,1,602,610,812,820,DL,1919,N971DL,LGA,MSP,170,1020,Delta Air Lines Inc.
2013,1,1,602,605,821,805,MQ,4401,N730MQ,LGA,DTW,105,502,Envoy Air
